
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:326)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:336)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:338)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:346)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:351)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:352)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:353)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/NotificationContentGenerator.swift:356)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/EngagementEngine.swift:262)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/EngagementEngine.swift:508)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Notifications/Services/EngagementEngine.swift:538)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Onboarding/OnboardingIntelligence.swift:217)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Onboarding/OnboardingIntelligence.swift:1028)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Onboarding/Views/InsightsConfirmationView.swift:84)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Modules/Onboarding/PersonaOnboardingView.swift:234)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/LiveActivity/AirFitWidgetBundle.swift:226)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/LiveActivity/NutritionLiveActivity.swift:113)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/Context/HealthDataLoadingProgress.swift:13)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/Goals/GoalService.swift:275)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/Workouts/StrengthProgressionService.swift:62)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/Recovery/RecoveryInference.swift:154)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/User/UserService.swift:174)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:260)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:361)
[FILE_SIZE] File too large: 2104 lines (max: 1000) (AirFit/Modules/AI/CoachEngine.swift)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:370)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:388)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:395)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:399)
[FORCE_UNWRAP] Found force unwrapping (!) (AirFit/Services/AI/AIService.swift:417)
[FILE_SIZE] File too large: 1194 lines (max: 1000) (AirFit/Modules/FoodTracking/Views/PhotoInputView.swift)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Utilities/AppIconGenerator.swift:179)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Utilities/AppIconGenerator.swift:185)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/GradientText.swift:49)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/GradientText.swift:52)
[FILE_SIZE] File too large: 1315 lines (max: 1000) (AirFit/Modules/Onboarding/OnboardingIntelligence.swift)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/GradientText.swift:55)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/GradientText.swift:58)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/GradientText.swift:61)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ErrorPresentationView.swift:150)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ErrorPresentationView.swift:227)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ErrorPresentationView.swift:326)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ErrorPresentationView.swift:351)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ModelContainerErrorView.swift:38)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ModelContainerErrorView.swift:77)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ModelContainerErrorView.swift:102)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Views/ModelContainerErrorView.swift:127)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Core/Protocols/ErrorHandling.swift:137)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/MainTabView.swift:230)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/AirFitApp.swift:128)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:136)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:164)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:170)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:182)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:203)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:246)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Application/ContentView.swift:262)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:64)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:111)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:123)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:130)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:143)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:166)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:176)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:188)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:190)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:232)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:256)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:375)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/VoiceSettingsView.swift:392)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/UnitsSettingsView.swift:19)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/UnitsSettingsView.swift:44)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/UnitsSettingsView.swift:76)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/ModelRecommendationView.swift:32)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/ModelRecommendationView.swift:74)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:20)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:46)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:57)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:59)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:69)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:87)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:102)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:162)
[HARDCODED_STRING] Potential hardcoded user-facing string (AirFit/Modules/Settings/Views/NotificationPreferencesView.swift:174)
